employee_id,date,status,check_in,check_out,hours_worked
1,2025-01-01,present,08:02,18:52,9.6
2,2025-01-01,sick_leave,,,0.0
3,2025-01-01,sick_leave,,,0.0
4,2025-01-01,present,08:04,20:53,9.6
5,2025-01-01,present,08:51,20:07,8.4
8,2025-01-01,present,07:21,17:55,9.5
9,2025-01-01,present,08:55,20:27,9.7
10,2025-01-01,present,08:32,17:40,8.7
11,2025-01-01,present,09:41,19:36,8.2
13,2025-01-01,present,09:55,17:42,8.7
17,2025-01-01,present,08:14,17:46,10.0
18,2025-01-01,present,07:54,18:28,9.1
19,2025-01-01,present,08:05,18:00,9.8
23,2025-01-01,present,09:55,19:09,10.2
25,2025-01-01,sick_leave,,,0.0
26,2025-01-01,present,08:33,20:48,8.9
30,2025-01-01,remote,09:20,18:09,7.1
32,2025-01-01,present,08:13,19:19,9.5
34,2025-01-01,present,09:16,20:32,9.8
36,2025-01-01,present,09:45,18:14,7.8
37,2025-01-01,present,07:12,18:23,8.8
38,2025-01-01,present,08:45,17:28,10.1
40,2025-01-01,present,08:19,19:55,8.6
42,2025-01-01,present,08:11,20:56,7.9
44,2025-01-01,present,08:28,19:44,7.6
45,2025-01-01,present,09:58,20:52,9.0
47,2025-01-01,present,08:39,19:43,8.4
48,2025-01-01,present,08:53,19:08,9.3
49,2025-01-01,present,08:47,20:50,8.3
55,2025-01-01,present,07:48,18:30,8.7
59,2025-01-01,present,08:18,17:16,10.1
60,2025-01-01,present,08:26,20:22,7.7
62,2025-01-01,present,08:12,19:05,7.7
63,2025-01-01,present,07:41,18:03,9.4
67,2025-01-01,present,07:41,17:36,10.1
70,2025-01-01,present,08:23,20:22,9.7
71,2025-01-01,present,09:18,19:21,8.2
75,2025-01-01,business_trip,,,0.0
76,2025-01-01,present,09:42,20:23,8.2
77,2025-01-01,vacation,,,0.0
78,2025-01-01,sick_leave,,,0.0
79,2025-01-01,remote,08:26,18:02,8.6
80,2025-01-01,sick_leave,,,0.0
81,2025-01-01,present,07:55,17:16,8.9
83,2025-01-01,remote,10:47,17:04,7.1
85,2025-01-01,present,08:37,19:52,8.8
87,2025-01-01,present,09:48,20:53,8.4
88,2025-01-01,present,09:06,19:32,8.1
89,2025-01-01,absent,,,0.0
93,2025-01-01,present,08:25,20:04,8.4
94,2025-01-01,present,08:27,17:32,9.4
95,2025-01-01,present,09:31,17:17,9.7
96,2025-01-01,present,08:25,20:35,10.2
98,2025-01-01,present,07:47,19:45,7.9
99,2025-01-01,present,09:37,19:01,9.1
100,2025-01-01,present,08:45,18:44,8.2
104,2025-01-01,present,09:11,18:31,8.8
106,2025-01-01,present,07:20,19:53,8.9
108,2025-01-01,present,09:27,18:58,8.0
109,2025-01-01,present,08:04,18:56,7.8
110,2025-01-01,present,07:19,20:19,8.9
113,2025-01-01,present,09:37,17:16,8.9
115,2025-01-01,present,08:10,19:29,8.4
116,2025-01-01,present,07:00,18:20,9.3
117,2025-01-01,present,07:59,18:58,9.7
118,2025-01-01,present,08:41,18:53,8.6
121,2025-01-01,present,09:43,20:26,8.4
122,2025-01-01,remote,09:30,18:06,7.5
123,2025-01-01,absent,,,0.0
125,2025-01-01,sick_leave,,,0.0
126,2025-01-01,present,09:12,17:09,8.6
127,2025-01-01,present,08:57,20:49,8.5
128,2025-01-01,present,08:13,19:40,8.0
129,2025-01-01,present,09:38,19:21,10.1
130,2025-01-01,present,07:51,19:45,10.2
131,2025-01-01,present,07:58,18:35,10.4
133,2025-01-01,present,09:53,17:24,8.9
134,2025-01-01,present,07:13,18:54,7.8
135,2025-01-01,present,09:48,17:35,10.2
136,2025-01-01,present,09:03,18:34,7.7
137,2025-01-01,present,08:12,19:08,9.6
138,2025-01-01,business_trip,,,0.0
143,2025-01-01,present,07:06,19:36,8.9
144,2025-01-01,present,07:53,17:11,7.7
145,2025-01-01,present,08:57,18:18,7.8
146,2025-01-01,present,09:25,17:12,8.2
148,2025-01-01,present,09:22,19:12,10.0
152,2025-01-01,vacation,,,0.0
154,2025-01-01,present,07:12,17:51,8.4
155,2025-01-01,present,08:34,17:42,9.6
158,2025-01-01,remote,10:56,19:26,7.9
159,2025-01-01,present,09:49,19:20,8.9
160,2025-01-01,present,09:27,18:47,9.9
161,2025-01-01,present,08:07,18:38,9.3
163,2025-01-01,present,09:54,19:21,8.0
164,2025-01-01,present,09:05,17:01,8.8
172,2025-01-01,present,09:47,20:41,8.6
173,2025-01-01,present,07:03,18:10,9.5
174,2025-01-01,present,09:07,20:34,7.9
175,2025-01-01,present,07:09,17:40,9.9
177,2025-01-01,present,09:25,18:41,9.8
180,2025-01-01,present,09:49,20:09,7.6
183,2025-01-01,present,08:31,17:47,7.5
184,2025-01-01,present,07:08,19:31,7.9
185,2025-01-01,present,09:29,17:45,8.1
190,2025-01-01,present,07:41,20:58,10.0
